Customer_ID,Date,Net Cashflow Predicted,Net Cashflow Actual
1,2020-01-01,4922820.735773717,5119811.776813907
1,2020-02-01,4911111.815886048,4980590.128439868
1,2020-03-01,5109593.055969625,4900659.977239446
1,2020-04-01,4931799.196030025,5338658.308756831
1,2020-05-01,4937561.293246983,4991689.0634577405
1,2020-06-01,4865586.799632553,4898247.148145948
1,2020-07-01,5112830.0250053685,4968773.803576325
1,2020-08-01,5068608.104255973,4954073.785960977
1,2020-09-01,4944013.951778943,4916614.622706084
1,2020-10-01,4959687.210276325,5045453.151757725
1,2020-11-01,5145216.862756751,4893052.804619248
1,2020-12-01,5104657.063906831,4897360.614806597
1,2021-01-01,5057400.504493409,4986140.153407168
1,2021-02-01,5007401.075022704,4900497.813748798
1,2021-03-01,4978120.233127362,5043476.948591775
1,2021-04-01,4880870.532937417,5105058.358468112
1,2021-05-01,4872969.460465517,5146802.106574804
1,2021-06-01,4978478.712545198,5034013.3799688555
1,2021-07-01,5099194.609874165,4984248.817110161
1,2021-08-01,4820365.429363014,5005276.197500545
1,2021-09-01,5084206.062980845,4907177.006693422
1,2021-10-01,4932085.904765682,4901207.6232958855
1,2021-11-01,4934079.854987922,4894300.364292398
1,2021-12-01,4939880.180618795,4917445.90483359
1,2022-01-01,4869382.100147975,4817698.843084054
1,2022-02-01,4868550.136260944,4932003.453137311
1,2022-03-01,5105045.563419973,4994197.444726164
1,2022-04-01,5053703.595776896,5144271.3515967
1,2022-05-01,4917817.897756201,5044780.29835753
1,2022-06-01,4925643.6261466555,4950120.583530779
1,2022-07-01,5141932.238486139,4906258.010003541
1,2022-08-01,5123574.047723582,5094646.7258177055
1,2022-09-01,4982818.809779783,4978813.821606102
1,2022-10-01,4984942.673136879,5082055.772887652
1,2022-11-01,5067458.927404266,4964968.876689503
1,2022-12-01,4795274.8926258655,4984426.33965805
1,2023-01-01,4860439.890347008,5107596.786397346
1,2023-02-01,5161906.519968422,5046809.2936874665
1,2023-03-01,4995940.409506603,4938044.868503176
1,2023-04-01,4925570.237491391,4992319.823385227
1,2023-05-01,4862519.06532551,4943188.169155805
1,2023-06-01,5041427.538029597,5054211.459298458
1,2023-07-01,5036625.556514899,5092321.263343929
1,2023-08-01,4907912.61273324,5230055.25816461
1,2023-09-01,4991645.8005763,5064431.206828977
1,2023-10-01,5078450.81529701,4992301.914222993
1,2023-11-01,4988184.691423813,5024524.933064227
1,2023-12-01,4804825.348863348,4971317.171276082
2,2020-01-01,5047550.255248404,4961810.479137925
2,2020-02-01,5127696.9163785605,5133447.28379947
2,2020-03-01,5090157.657988543,5101038.250930196
2,2020-04-01,5046250.065808546,4967730.973827001
2,2020-05-01,4933722.643836235,4937989.517697615
2,2020-06-01,4987659.16588011,4929261.376634358
2,2020-07-01,5060319.677733222,4953378.249365857
2,2020-08-01,4890519.879303131,4984005.928990765
2,2020-09-01,5079024.596719039,5061263.083015752
2,2020-10-01,4859003.352235936,4998401.938734951
2,2020-11-01,5036827.732290064,5010053.732699069
2,2020-12-01,4903317.498895492,4907533.964233645
2,2021-01-01,4964833.657530523,4955311.179982689
2,2021-02-01,5118503.395718251,4963718.995250428
2,2021-03-01,5131053.9988429705,5034158.703346324
2,2021-04-01,4951904.977075588,5104998.560093415
2,2021-05-01,5025706.1017746935,5056720.849217712
2,2021-06-01,4829079.737933564,5095555.172920507
2,2021-07-01,4913701.94492455,4977428.846772488
2,2021-08-01,5087361.791520946,4915588.691288233
2,2021-09-01,4931005.794439368,4932487.635908873
2,2021-10-01,4967129.447588211,4957839.653706067
2,2021-11-01,5085722.820251982,4966870.362831512
2,2021-12-01,5009359.918868204,5104357.583040945
2,2022-01-01,5019497.383230856,4896357.006007216
2,2022-02-01,4958368.87333107,4829127.106748239
2,2022-03-01,4965137.775130175,5033375.3465846125
2,2022-04-01,5077499.253621243,4976635.643910106
2,2022-05-01,4891565.059731733,5095156.840165572
2,2022-06-01,5080483.394971635,5123724.285031712
2,2022-07-01,4970566.909607439,5126191.544818663
2,2022-08-01,5102301.6357122585,4918581.736428887
2,2022-09-01,5101471.434306787,4943088.615951128
2,2022-10-01,5078257.596389365,5021420.202195434
2,2022-11-01,5084014.282837112,5068622.418287848
2,2022-12-01,5049235.711831432,5071924.902091425
2,2023-01-01,5125958.292074911,4928812.305844566
2,2023-02-01,4960835.0233504735,4929299.937041494
2,2023-03-01,4924537.998214671,4916984.354532252
2,2023-04-01,4938183.554021431,4977926.982659287
2,2023-05-01,5096204.0279723,4982710.318767167
2,2023-06-01,5071576.363711743,4810597.554565296
2,2023-07-01,4974150.5818738,5154157.727571644
2,2023-08-01,5101896.055940476,4947295.735003211
2,2023-09-01,4893988.390809254,5020357.162227543
2,2023-10-01,5153541.396012566,5079981.789767493
2,2023-11-01,4966220.48638697,4909796.884296799
2,2023-12-01,5022009.838833372,5149727.472250143
3,2020-01-01,5156589.615678452,4994622.867469793
3,2020-02-01,4936337.039807527,4840767.760029877
3,2020-03-01,4998664.053081229,5122503.252040495
3,2020-04-01,4990032.912556134,4965668.412714228
3,2020-05-01,5068105.759629764,4994552.029688924
3,2020-06-01,5078259.433145487,4901376.043391678
3,2020-07-01,5102833.271253487,4903839.054245826
3,2020-08-01,4885371.333938185,5175482.696405659
3,2020-09-01,5015865.307236641,5046053.987081869
3,2020-10-01,4968185.462968642,5011021.649742728
3,2020-11-01,5037761.324696947,4797000.957986218
3,2020-12-01,5039761.867754263,5010045.242835696
3,2021-01-01,5018624.5553269675,5070101.04156802
3,2021-02-01,4901149.162783955,4947633.9628621405
3,2021-03-01,4756184.04977862,5132363.502838967
3,2021-04-01,4979939.8278778335,4921590.858345109
3,2021-05-01,5194148.774358763,4993319.446109946
3,2021-06-01,5088285.703251214,4998283.8294956
3,2021-07-01,4982539.691237119,5101532.83831885
3,2021-08-01,4817979.664554938,4951065.042376254
3,2021-09-01,5021575.3354597,4968413.59683212
3,2021-10-01,4971282.9927278645,4835538.445704156
3,2021-11-01,5056543.266049941,5173360.440036758
3,2021-12-01,5174872.03748854,4970454.960459743
3,2022-01-01,5275219.5327910995,4861782.927331033
3,2022-02-01,4992645.077301114,4932865.084708296
3,2022-03-01,4975051.532259596,4943255.520284123
3,2022-04-01,4909339.859012452,4837783.144059936
3,2022-05-01,5070004.007330961,4924510.8502528975
3,2022-06-01,4929254.678852483,5063083.9898586795
3,2022-07-01,5071726.548073954,4977471.249684915
3,2022-08-01,4991637.675208011,5276114.647536209
3,2022-09-01,4946356.93946703,5123602.832840693
3,2022-10-01,5032905.363566032,4919883.120908179
3,2022-11-01,5190476.795038271,5025889.716354223
3,2022-12-01,5034397.599540261,4914591.334472633
3,2023-01-01,4884936.937826795,5003898.128217527
3,2023-02-01,4858364.426114263,5028775.182604755
3,2023-03-01,5118858.703934541,4851625.203043509
3,2023-04-01,5068164.591241915,4796346.585945971
3,2023-05-01,5065747.784006349,5026688.259270615
3,2023-06-01,4968392.050768734,4972767.457642986
3,2023-07-01,5044063.784016079,4935083.51262091
3,2023-08-01,4966074.850946433,4885578.851852457
3,2023-09-01,4946540.345404768,5158587.179446047
3,2023-10-01,4672859.5854490325,5047345.02266234
3,2023-11-01,4881499.443283412,4965630.460814483
3,2023-12-01,5052266.643336066,4931060.848030961
4,2020-01-01,5020584.074146818,4893575.228118176
4,2020-02-01,5088850.243654872,4936910.599828077
4,2020-03-01,4931834.7915243255,5041472.591896796
4,2020-04-01,5008403.690150277,4814192.653925025
4,2020-05-01,4904940.523299105,5084130.307239146
4,2020-06-01,4867137.461791646,5151148.633413217
4,2020-07-01,4943337.484274625,4995855.015492448
4,2020-08-01,5064662.814490707,4875917.837152412
4,2020-09-01,5124786.769978375,5013174.217837058
4,2020-10-01,4998737.117069434,4851496.749469522
4,2020-11-01,5103476.244921588,5085685.460278967
4,2020-12-01,5152459.515161137,4894859.722833728
4,2021-01-01,5202480.91977489,5050791.504309366
4,2021-02-01,4910227.275809919,4981413.753418008
4,2021-03-01,5176463.195164764,4815023.881795429
4,2021-04-01,5069252.52918482,5149489.591421311
4,2021-05-01,4879850.962069439,4995250.475038636
4,2021-06-01,4805722.74858322,4877499.439820097
4,2021-07-01,4928071.725738852,4975553.634296014
4,2021-08-01,4890039.959189673,4954770.4441802185
4,2021-09-01,5137989.52535302,4991066.109694221
4,2021-10-01,5043441.67108073,4959812.307736218
4,2021-11-01,4905609.388471556,5017617.151610903
4,2021-12-01,4889864.480066186,5056744.434057799
4,2022-01-01,4971140.341240818,5000732.167750325
4,2022-02-01,5056391.5706672715,5025461.817125071
4,2022-03-01,4949950.403840718,5114312.83153106
4,2022-04-01,4941627.962963456,4861893.661502441
4,2022-05-01,5110866.0855712695,4892596.188801927
4,2022-06-01,4943293.464429719,5015961.091624549
4,2022-07-01,4908054.808690385,4960203.5914896205
4,2022-08-01,4976136.256027563,5112983.709164823
4,2022-09-01,5001069.428256718,4932573.107993451
4,2022-10-01,5063233.6745664785,5055202.001216913
4,2022-11-01,4980830.836391547,5096675.610946938
4,2022-12-01,4936158.068911186,5023118.22287226
4,2023-01-01,5058189.917016319,5075489.0959181655
4,2023-02-01,5168844.38359006,5040784.375756037
4,2023-03-01,4908809.768980056,4933309.051920284
4,2023-04-01,5063901.514200933,5012427.1162224
4,2023-05-01,4798579.088604301,5092465.819699613
4,2023-06-01,4871558.5820930125,4963986.625962874
4,2023-07-01,5022257.4645265415,4980367.806171173
4,2023-08-01,5074823.198481242,5072215.254934106
4,2023-09-01,4933106.010622902,5018760.790912524
4,2023-10-01,5087349.781577598,5069978.583790178
4,2023-11-01,4901662.112372121,5022674.907007454
4,2023-12-01,4978364.04285984,5130394.301717503
5,2020-01-01,4988784.551662588,5011405.2511917
5,2020-02-01,4943703.469250721,4870344.156569825
5,2020-03-01,4950697.74189658,5130137.055073076
5,2020-04-01,5073937.685944306,4909465.680431983
5,2020-05-01,4932513.106331561,5091815.851649406
5,2020-06-01,4871010.402214534,4909398.397753546
5,2020-07-01,5089814.284580893,4900329.517946194
5,2020-08-01,4999161.853250546,4920401.634274243
5,2020-09-01,4983567.135144676,4841228.087775038
5,2020-10-01,5141195.708501659,4947975.91872684
5,2020-11-01,5050709.326620048,4849663.744936648
5,2020-12-01,5023490.696791089,4911560.016348964
5,2021-01-01,4980868.637184882,5045172.935499647
5,2021-02-01,5079255.383788016,4993677.054936225
5,2021-03-01,5002202.553773009,4996293.902171795
5,2021-04-01,5033719.0757892495,4837080.313262877
5,2021-05-01,5049197.801472512,4936226.87193556
5,2021-06-01,5093361.8750328915,5055048.145056805
5,2021-07-01,5020499.466442663,5110317.195624396
5,2021-08-01,5034592.652160644,4880246.942898715
5,2021-09-01,4927233.330803638,4887077.905137568
5,2021-10-01,5021570.055827893,5073841.422576855
5,2021-11-01,4949554.60236798,4996893.452198295
5,2021-12-01,4878821.649769871,5070873.320390614
5,2022-01-01,5010068.209475052,4817474.757854389
5,2022-02-01,5021852.951276368,4983102.626826873
5,2022-03-01,4997118.859191635,5150644.1109586805
5,2022-04-01,5291636.234580677,4935070.854858709
5,2022-05-01,5068935.883463061,4894099.948724119
5,2022-06-01,4817965.91728874,5010357.024825267
5,2022-07-01,4959302.126702398,5054627.693854236
5,2022-08-01,5041823.264334871,4937294.826372599
5,2022-09-01,5066159.087187093,4907119.286060007
5,2022-10-01,4919873.4152430985,4951970.685100082
5,2022-11-01,5018530.050181318,4930728.375990357
